Id,Label,timeset,d0,indegree,outdegree,degree
Shay Given,Shay Given,,0,11,0,11
Shimizu S-Pulse,Shimizu S-Pulse,,0,8,0,8
Turkish Women'S Cup,Turkish Women'S Cup,,0,7,0,7
Shibuya,Shibuya,,0,11,0,11
Daegu-Gyeongbuk,Daegu-Gyeongbuk,,0,5,0,5
Citizen Watch,Citizen Watch,,0,4,0,4
Turin,Turin,,0,8,0,8
Rabah Madjer,Rabah Madjer,,0,13,0,13
William Sunsing,William Sunsing,,0,6,0,6
Andrea Lazzari,Andrea Lazzari,,0,4,0,4
Giuseppe Viani,Giuseppe Viani,,0,4,0,4
1962 Fifa World Cup Bids,1962 Fifa World Cup Bids,,0,6,0,6
2002 Coppa Italia Final,2002 Coppa Italia Final,,0,4,0,4
Itaipava Arena Pernambuco,Itaipava Arena Pernambuco,,0,4,0,4
Canon Inc.,Canon Inc.,,0,6,0,6
Fatih Sonkaya,Fatih Sonkaya,,0,4,0,4
Enzo Francescoli,Enzo Francescoli,,0,21,0,21
Coach (Sport),Coach (Sport),,0,8,0,8
Aleksandr Filimonov,Aleksandr Filimonov,,0,6,0,6
Roy Makaay,Roy Makaay,,0,9,0,9
Arena Corinthians,Arena Corinthians,,0,14,0,14
Transparency International,Transparency International,,0,4,0,4
Deportivo De La Coruña,Deportivo De La Coruña,,0,13,0,13
Fifa Women'S World Cup Golden Glove,Fifa Women'S World Cup Golden Glove,,0,5,0,5
Usl First Division,Usl First Division,,0,4,0,4
1920 South American Championship,1920 South American Championship,,0,8,0,8
Igor Chugainov,Igor Chugainov,,0,6,0,6
Raouf Bouzaiene,Raouf Bouzaiene,,0,4,33,37
"Zé Maria (Footballer, Born 1973)","Zé Maria (Footballer, Born 1973)",,0,5,0,5
Iván Kaviedes,Iván Kaviedes,,0,7,0,7
1998 Fifa World Cup Group B,1998 Fifa World Cup Group B,,0,9,0,9
Dejan Lovren,Dejan Lovren,,0,5,0,5
Cicinho,Cicinho,,0,4,0,4
Georges Leekens,Georges Leekens,,0,6,0,6
El-Hadji Diouf,El-Hadji Diouf,,0,39,329,368
Taitō,Taitō,,0,8,0,8
Martinique Women'S National Football Team,Martinique Women'S National Football Team,,0,4,0,4
Aleksandr Mostovoi,Aleksandr Mostovoi,,0,6,0,6
Fifa World Cup Mascot,Fifa World Cup Mascot,,0,12,170,182
Reebok,Reebok,,0,7,0,7
Cagliari Calcio,Cagliari Calcio,,0,11,0,11
2003–04 Bundesliga,2003–04 Bundesliga,,0,6,0,6
Osaka Prefecture,Osaka Prefecture,,0,9,0,9
Rio De Janeiro,Rio De Janeiro,,0,30,0,30
Unaf U-21 Women'S Tournament,Unaf U-21 Women'S Tournament,,0,4,0,4
Gcc U-17 Championship,Gcc U-17 Championship,,0,4,0,4
Aston Villa F.C.,Aston Villa F.C.,,0,26,0,26
Mizuho Financial Group,Mizuho Financial Group,,0,5,0,5
Club Atlético Vélez Sársfield,Club Atlético Vélez Sársfield,,0,5,0,5
Adidas Brazuca,Adidas Brazuca,,0,10,0,10
Boeing,Boeing,,0,5,0,5
Parc Olympique Lyonnais,Parc Olympique Lyonnais,,0,10,0,10
Mark Fish,Mark Fish,,0,6,0,6
Rivellino,Rivellino,,0,23,0,23
Cruz Azul,Cruz Azul,,0,18,0,18
Sunshine Coast Stadium,Sunshine Coast Stadium,,0,9,0,9
Guatemala,Guatemala,,0,19,0,19
Soccer,Soccer,,0,6,0,6
1. Fc Nürnberg,1. Fc Nürnberg,,0,5,0,5
Eritrean National Football Federation,Eritrean National Football Federation,,0,9,0,9
1932 Summer Olympics,1932 Summer Olympics,,0,9,0,9
Uefa Euro 1996 Squads,Uefa Euro 1996 Squads,,0,13,0,13
Cho Yoon-Ok,Cho Yoon-Ok,,0,4,0,4
Munsu Cup Stadium,Munsu Cup Stadium,,0,5,58,63
Maldives National Football Team,Maldives National Football Team,,0,16,0,16
Niigata (City),Niigata (City),,0,14,0,14
2005–06 Bundesliga,2005–06 Bundesliga,,0,9,0,9
Efraín Juárez,Efraín Juárez,,0,4,0,4
Football League Trophy,Football League Trophy,,0,6,0,6
"Juanito (Footballer, Born 1954)","Juanito (Footballer, Born 1954)",,0,5,0,5
Perth,Perth,,0,4,0,4
Australia National Beach Soccer Team,Australia National Beach Soccer Team,,0,4,0,4
2010 Fifa World Cup,2010 Fifa World Cup,,0,197,576,773
Comoros Football Federation,Comoros Football Federation,,0,10,0,10
1992 Fifa Confederations Cup,1992 Fifa Confederations Cup,,0,4,0,4
"Denílson (Footballer, Born 1977)","Denílson (Footballer, Born 1977)",,0,11,0,11
Andrés Scotti,Andrés Scotti,,0,8,0,8
Dmitri Sennikov,Dmitri Sennikov,,0,7,0,7
Rc Strasbourg Alsace,Rc Strasbourg Alsace,,0,5,0,5
Russia National Football Team,Russia National Football Team,,0,129,460,589
Luis Fernando Suárez,Luis Fernando Suárez,,0,9,0,9
Julius Aghahowa,Julius Aghahowa,,0,7,126,133
2005 Cerezo Osaka Season,2005 Cerezo Osaka Season,,0,4,0,4
2001–02 Süper Lig,2001–02 Süper Lig,,0,4,0,4
George Weah,George Weah,,0,21,0,21
Uemoa Tournament,Uemoa Tournament,,0,5,0,5
Kōchi (City),Kōchi (City),,0,8,0,8
Women'S Futsal World Tournament,Women'S Futsal World Tournament,,0,7,0,7
The Walt Disney Company,The Walt Disney Company,,0,5,0,5
Nicolás Lodeiro,Nicolás Lodeiro,,0,6,0,6
Serbia And Montenegro,Serbia And Montenegro,,0,11,0,11
Lotte Hotels & Resorts,Lotte Hotels & Resorts,,0,2,16,18
1930 Fifa World Cup Bids,1930 Fifa World Cup Bids,,0,6,0,6
Kbo League,Kbo League,,0,4,0,4
Valeri Sarychev,Valeri Sarychev,,0,4,0,4
Famara Diédhiou,Famara Diédhiou,,0,4,0,4
Lb Châteauroux,Lb Châteauroux,,0,4,0,4
Yerry Mina,Yerry Mina,,0,9,0,9
Portugal National Under-21 Football Team,Portugal National Under-21 Football Team,,0,6,0,6
Asia,Asia,,0,15,0,15
Abdulellah Al-Malki,Abdulellah Al-Malki,,0,4,0,4
Fifa U-20 Women'S World Cup,Fifa U-20 Women'S World Cup,,0,19,0,19
Moisés Caicedo,Moisés Caicedo,,0,5,0,5
Pierre Richard Bruny,Pierre Richard Bruny,,0,4,0,4
Kazuyoshi Miura,Kazuyoshi Miura,,0,8,0,8
Paulo Chávez,Paulo Chávez,,0,4,0,4
1951 Asian Games,1951 Asian Games,,0,5,0,5
1987 Copa América,1987 Copa América,,0,10,0,10
Bonaire Football Federation,Bonaire Football Federation,,0,10,0,10
East Asian Religions,East Asian Religions,,0,4,0,4
Álvaro Grant,Álvaro Grant,,0,4,0,4
Konica Minolta,Konica Minolta,,0,4,0,4
Tuncay Şanlı,Tuncay Şanlı,,0,7,0,7
Björn Kuipers,Björn Kuipers,,0,10,0,10
Denmark V Sweden (Uefa Euro 2008 Qualifying),Denmark V Sweden (Uefa Euro 2008 Qualifying),,0,7,0,7
Borussia Dortmund,Borussia Dortmund,,0,25,0,25
1995 King Fahd Cup Final,1995 King Fahd Cup Final,,0,8,0,8
Norway At The Fifa World Cup,Norway At The Fifa World Cup,,0,10,0,10
Mariano Pernía,Mariano Pernía,,0,4,0,4
Utc+9,Utc+9,,0,14,38,52
Robert F. Kennedy Memorial Stadium,Robert F. Kennedy Memorial Stadium,,0,12,0,12
Djurgårdens If Fotboll,Djurgårdens If Fotboll,,0,4,0,4
Maracanã Stadium,Maracanã Stadium,,0,21,0,21
Stefan Kuntz,Stefan Kuntz,,0,11,0,11
Aziz Bouhaddouz,Aziz Bouhaddouz,,0,5,0,5
2006 Asian Games,2006 Asian Games,,0,6,0,6
Ryuzo Morioka,Ryuzo Morioka,,0,7,0,7
Grégory Coupet,Grégory Coupet,,0,4,0,4
The Hindu,The Hindu,,0,4,0,4
Bbc News,Bbc News,,0,23,0,23
K-Pop,K-Pop,,0,6,0,6
Granit Xhaka,Granit Xhaka,,0,8,0,8
Duracell,Duracell,,0,2,15,17
Ludwig Augustinsson,Ludwig Augustinsson,,0,4,0,4
Fifa Council,Fifa Council,,0,22,0,22
Leon Goretzka,Leon Goretzka,,0,8,0,8
Sergio Almaguer,Sergio Almaguer,,0,5,0,5
Suncheon,Suncheon,,0,7,0,7
Opta Sports,Opta Sports,,0,4,0,4
Wilson Palacios,Wilson Palacios,,0,6,0,6
Shia Islam,Shia Islam,,0,5,0,5
Kevin De Bruyne,Kevin De Bruyne,,0,25,0,25
Sendai,Sendai,,0,13,0,13
Afc Futsal Asian Cup,Afc Futsal Asian Cup,,0,6,0,6
2011 Copa América,2011 Copa América,,0,17,0,17
Mark Shield,Mark Shield,,0,43,103,146
Wafu Nations Cup,Wafu Nations Cup,,0,45,0,45
Enrique Borja,Enrique Borja,,0,5,0,5
Yeltsin Tejeda,Yeltsin Tejeda,,0,4,0,4
Moussa Sissoko,Moussa Sissoko,,0,4,0,4
Panama City,Panama City,,0,6,0,6
Frank Wallace (Soccer),Frank Wallace (Soccer),,0,5,0,5
Igor Lediakhov,Igor Lediakhov,,0,6,0,6
Gimcheon,Gimcheon,,0,9,0,9
Ifeanyi Udeze,Ifeanyi Udeze,,0,4,0,4
Horst Heldt,Horst Heldt,,0,5,0,5
Greece,Greece,,0,38,0,38
Martín Demichelis,Martín Demichelis,,0,7,0,7
Sweden 1930 Fifa World Cup Bid,Sweden 1930 Fifa World Cup Bid,,0,6,0,6
Uefa Euro 2004 Final,Uefa Euro 2004 Final,,0,11,0,11
An Hyo-Yeon,An Hyo-Yeon,,0,8,0,8
Yangsan,Yangsan,,0,7,0,7
Carsten Jancker,Carsten Jancker,,0,17,146,163
Arkadiusz Bąk,Arkadiusz Bąk,,0,4,0,4
Werner Nilsen,Werner Nilsen,,0,4,0,4
Club Atlas,Club Atlas,,0,4,0,4
Rivaldo,Rivaldo,,0,42,0,42
Emmanuel Amunike,Emmanuel Amunike,,0,4,0,4
Gimhae,Gimhae,,0,7,0,7
Amagasaki,Amagasaki,,0,8,0,8
Taça De Portugal,Taça De Portugal,,0,7,0,7
Saint Lucia Football Association,Saint Lucia Football Association,,0,10,0,10
2018 Superclásico De Las Américas,2018 Superclásico De Las Américas,,0,10,0,10
Leandro Damião,Leandro Damião,,0,6,0,6
Kosovo National Football Team,Kosovo National Football Team,,0,31,0,31
Luxembourg City,Luxembourg City,,0,8,0,8
Bangladesh National Football Team,Bangladesh National Football Team,,0,13,0,13
Ed Souza,Ed Souza,,0,4,0,4
Emiliano Bonazzoli,Emiliano Bonazzoli,,0,4,0,4
Albirex Niigata Ladies,Albirex Niigata Ladies,,0,5,0,5
Edgar Aguilera,Edgar Aguilera,,0,7,0,7
Football At The Islamic Solidarity Games,Football At The Islamic Solidarity Games,,0,43,0,43
"Alex Scott (Footballer, Born 1984)","Alex Scott (Footballer, Born 1984)",,0,5,0,5
Peter Mikkelsen (Referee),Peter Mikkelsen (Referee),,0,6,0,6
Derlis González,Derlis González,,0,5,0,5
Eljero Elia,Eljero Elia,,0,5,0,5
L'Équipe,L'Équipe,,0,18,0,18
The Best Fifa Women'S Player,The Best Fifa Women'S Player,,0,7,0,7
Football,Football,,0,17,0,17
Taribo West,Taribo West,,0,5,0,5
I (Newspaper),I (Newspaper),,0,5,0,5
2021 Africa Cup Of Nations Squads,2021 Africa Cup Of Nations Squads,,0,4,0,4
Uefa Euro 2004 Squads,Uefa Euro 2004 Squads,,0,14,0,14
Kieran Trippier,Kieran Trippier,,0,10,0,10
"Óscar García (Footballer, Born 1973)","Óscar García (Footballer, Born 1973)",,0,4,0,4
Leroy Fer,Leroy Fer,,0,5,0,5
Carles Rexach,Carles Rexach,,0,5,0,5
Sergio Busquets,Sergio Busquets,,0,20,0,20
International Standard Recording Code,International Standard Recording Code,,0,4,0,4
Cbc Sports,Cbc Sports,,0,5,0,5
Tokyo Electric Power Company,Tokyo Electric Power Company,,0,4,145,149
Parc Des Princes,Parc Des Princes,,0,27,0,27
Sky México,Sky México,,0,4,0,4
Wim Suurbier,Wim Suurbier,,0,10,0,10
Campeonato Pernambucano,Campeonato Pernambucano,,0,5,0,5
Kashiwa Reysol,Kashiwa Reysol,,0,10,0,10
Eiji Kawashima,Eiji Kawashima,,0,7,0,7
Greenland,Greenland,,0,5,0,5
2014 Fifa World Cup Qualification (Afc–Conmebol Play-Off),2014 Fifa World Cup Qualification (Afc–Conmebol Play-Off),,0,4,0,4
Bolivia National Under-20 Football Team,Bolivia National Under-20 Football Team,,0,13,0,13
Council For East And Central Africa Football Associations,Council For East And Central Africa Football Associations,,0,8,0,8
Football Federation Of The Kyrgyz Republic,Football Federation Of The Kyrgyz Republic,,0,14,0,14
Valery Gazzaev,Valery Gazzaev,,0,4,0,4
Ofc Nations Cup,Ofc Nations Cup,,0,45,0,45
Adrenalina (Wisin Song),Adrenalina (Wisin Song),,0,5,0,5
United States V England (1950 Fifa World Cup),United States V England (1950 Fifa World Cup),,0,5,0,5
Wanda Group,Wanda Group,,0,4,0,4
Football In Brazil,Football In Brazil,,0,8,0,8
Graham Poll,Graham Poll,,0,46,138,184
Chris Henderson,Chris Henderson,,0,4,0,4
Venezuela National Under-20 Football Team,Venezuela National Under-20 Football Team,,0,12,0,12
Fifa World Youth Championship,Fifa World Youth Championship,,0,4,0,4
Africa Cup Of Nations,Africa Cup Of Nations,,0,52,0,52
Cities Designated By Government Ordinance Of Japan,Cities Designated By Government Ordinance Of Japan,,0,8,0,8
Mar Del Plata,Mar Del Plata,,0,4,0,4
Sejong City,Sejong City,,0,8,0,8
Feyenoord,Feyenoord,,0,19,0,19
1961 European Cup Final,1961 European Cup Final,,0,9,0,9
Victorio Unamuno,Victorio Unamuno,,0,4,0,4
England National Under-18 Football Team,England National Under-18 Football Team,,0,5,0,5
1974 Fifa World Cup Qualification (Uefa),1974 Fifa World Cup Qualification (Uefa),,0,5,0,5
2004 Ofc Nations Cup,2004 Ofc Nations Cup,,0,4,0,4
Marshall Plan,Marshall Plan,,0,5,0,5
2002–03 Ligue 1,2002–03 Ligue 1,,0,6,0,6
Sigfried Held,Sigfried Held,,0,6,0,6
South Africa National Football Team,South Africa National Football Team,,0,46,0,46
2004–05 Serie A,2004–05 Serie A,,0,4,0,4
Danny Jordaan,Danny Jordaan,,0,5,0,5
1997 Copa América Squads,1997 Copa América Squads,,0,8,0,8
"Ricardo Rojas (Footballer, Born 1971)","Ricardo Rojas (Footballer, Born 1971)",,0,6,0,6
Paraguay National Under-20 Football Team,Paraguay National Under-20 Football Team,,0,4,0,4
Alpay Özalan,Alpay Özalan,,0,28,190,218
Jesús Valenzuela,Jesús Valenzuela,,0,7,0,7
France 1990 Fifa World Cup Bid,France 1990 Fifa World Cup Bid,,0,6,0,6
Football Boot,Football Boot,,0,6,0,6
Chinese Fa Super Cup,Chinese Fa Super Cup,,0,4,0,4
2021 Africa Cup Of Nations,2021 Africa Cup Of Nations,,0,10,0,10
Jimmy Mcilroy,Jimmy Mcilroy,,0,5,0,5
2015 Eaff East Asian Cup,2015 Eaff East Asian Cup,,0,4,0,4
Substitute (Association Football),Substitute (Association Football),,0,21,0,21
2014 Fifa World Cup Officials,2014 Fifa World Cup Officials,,0,8,0,8
Asean Football Federation,Asean Football Federation,,0,23,0,23
Bernd Hölzenbein,Bernd Hölzenbein,,0,9,0,9
Tiebreaker,Tiebreaker,,0,4,0,4
José Luis Oltra,José Luis Oltra,,0,4,0,4
Montenegro National Football Team,Montenegro National Football Team,,0,36,0,36
Suruga Bank Championship,Suruga Bank Championship,,0,5,0,5
Fiba,Fiba,,0,7,0,7
2022 Fifa World Cup Seeding,2022 Fifa World Cup Seeding,,0,93,0,93
South Ossetia,South Ossetia,,0,6,0,6
Hannover 96,Hannover 96,,0,5,0,5
Football At The 1974 Asian Games,Football At The 1974 Asian Games,,0,6,0,6
Lucílio Batista,Lucílio Batista,,0,8,0,8
Dare (La La La),Dare (La La La),,0,5,0,5
Vietnam Football Federation,Vietnam Football Federation,,0,14,0,14
Pat Jennings,Pat Jennings,,0,5,0,5
Theo Walcott,Theo Walcott,,0,5,0,5
1997 Uefa Cup Final,1997 Uefa Cup Final,,0,4,0,4
La Romareda,La Romareda,,0,11,0,11
Iso 4217,Iso 4217,,0,12,0,12
King Fahd International Stadium,King Fahd International Stadium,,0,7,0,7
2000–01 La Liga,2000–01 La Liga,,0,9,0,9
Al-Ahli Saudi Fc,Al-Ahli Saudi Fc,,0,4,0,4
Hokuriku Region,Hokuriku Region,,0,5,0,5
Bibcode (Identifier),Bibcode (Identifier),,0,15,0,15
Keiren Westwood,Keiren Westwood,,0,4,0,4
Martín Silva,Martín Silva,,0,6,0,6
Sint Maarten National Football Team,Sint Maarten National Football Team,,0,7,0,7
Yanmar Stadium Nagai,Yanmar Stadium Nagai,,0,39,289,328
Kaies Ghodhbane,Kaies Ghodhbane,,0,4,0,4
El Maracanazo,El Maracanazo,,0,8,0,8
São Paulo,São Paulo,,0,20,0,20
Juan Carlos Plata,Juan Carlos Plata,,0,4,0,4
Vincent Enyeama,Vincent Enyeama,,0,7,0,7
Soviet Union At The 1988 Summer Olympics,Soviet Union At The 1988 Summer Olympics,,0,4,0,4
Houston Dynamo Fc,Houston Dynamo Fc,,0,5,0,5
Uefa Euro 2012 Final,Uefa Euro 2012 Final,,0,12,0,12
Oi Hockey Stadium,Oi Hockey Stadium,,0,7,0,7
South American Youth Football Championship,South American Youth Football Championship,,0,44,0,44
Daniel Jensen,Daniel Jensen,,0,4,0,4
Central African Football Federations' Union,Central African Football Federations' Union,,0,6,0,6
Glen De Boeck,Glen De Boeck,,0,6,0,6
Juan Carlos Valerón,Juan Carlos Valerón,,0,15,137,152
Gianluca Pessotto,Gianluca Pessotto,,0,5,0,5
Charles Corver,Charles Corver,,0,5,0,5
Parma F.C.,Parma F.C.,,0,5,0,5
1979 Fifa World Youth Championship,1979 Fifa World Youth Championship,,0,4,0,4
Die Zeit,Die Zeit,,0,4,0,4
Harbin,Harbin,,0,5,0,5
Hiratsuka,Hiratsuka,,0,8,0,8
Nikola Žigić,Nikola Žigić,,0,4,0,4
Aragon,Aragon,,0,4,0,4
East Asian Games,East Asian Games,,0,5,0,5
Bologna,Bologna,,0,5,0,5
Ligue De Football De Saint Pierre Et Miquelon,Ligue De Football De Saint Pierre Et Miquelon,,0,4,0,4
Pablo Velázquez,Pablo Velázquez,,0,4,0,4
Religion In Korea,Religion In Korea,,0,4,0,4
Sport Club Corinthians Paulista,Sport Club Corinthians Paulista,,0,14,0,14
Fifa World Cup Qatar 2022 Official Soundtrack,Fifa World Cup Qatar 2022 Official Soundtrack,,0,7,0,7
South American U-20 Women'S Futsal Championship,South American U-20 Women'S Futsal Championship,,0,11,0,11
Hansi Flick,Hansi Flick,,0,5,0,5
Uefa Euro 2000 Group B,Uefa Euro 2000 Group B,,0,9,0,9
Djibril Cissé,Djibril Cissé,,0,6,0,6
Football At The 2020 Summer Olympics – Women'S Tournament – Final,Football At The 2020 Summer Olympics – Women'S Tournament – Final,,0,4,0,4
2008–09 La Liga,2008–09 La Liga,,0,8,0,8
2014 Fifa World Cup Qualification,2014 Fifa World Cup Qualification,,0,98,311,409
Carlos Tevez,Carlos Tevez,,0,19,0,19
1995 J.League,1995 J.League,,0,4,0,4
Suat Kaya,Suat Kaya,,0,8,0,8
Graeme Souness,Graeme Souness,,0,14,0,14
Carlos Del Cerro Grande,Carlos Del Cerro Grande,,0,5,0,5
Brazil National Under-15 Football Team,Brazil National Under-15 Football Team,,0,9,0,9
Russia At The Fifa World Cup,Russia At The Fifa World Cup,,0,9,0,9
President Of Brazil,President Of Brazil,,0,4,0,4
Jorge Andrade,Jorge Andrade,,0,6,0,6
Nelson Valdez,Nelson Valdez,,0,9,0,9
Reinhard Libuda,Reinhard Libuda,,0,4,0,4
1972 Africa Cup Of Nations,1972 Africa Cup Of Nations,,0,7,0,7
Aff Women'S Championship,Aff Women'S Championship,,0,7,0,7
Iran–Iraq War,Iran–Iraq War,,0,6,0,6
Joe-Max Moore,Joe-Max Moore,,0,8,0,8
Fa Community Shield,Fa Community Shield,,0,15,0,15
Ladislao Mazurkiewicz,Ladislao Mazurkiewicz,,0,9,0,9
2009 World Championships In Athletics,2009 World Championships In Athletics,,0,7,0,7
Ahmet Çakar,Ahmet Çakar,,0,4,0,4
Timmy Simons,Timmy Simons,,0,7,0,7
Ansan,Ansan,,0,8,0,8
Eintracht Frankfurt,Eintracht Frankfurt,,0,19,0,19
2013 Fifa Confederations Cup Final,2013 Fifa Confederations Cup Final,,0,11,0,11
1954 Asian Games,1954 Asian Games,,0,5,0,5
Cape Verdean Football Federation,Cape Verdean Football Federation,,0,11,0,11
Sweden National Under-19 Football Team,Sweden National Under-19 Football Team,,0,4,0,4
2018 Fifa U-20 Women'S World Cup,2018 Fifa U-20 Women'S World Cup,,0,6,0,6
Bhutan Football Federation,Bhutan Football Federation,,0,14,0,14
Dennis Bergkamp,Dennis Bergkamp,,0,27,0,27
1935 South American Championship,1935 South American Championship,,0,8,0,8
Austria V West Germany (1978 Fifa World Cup),Austria V West Germany (1978 Fifa World Cup),,0,5,0,5
Nico Van Kerckhoven,Nico Van Kerckhoven,,0,7,0,7
Katlego Mphela,Katlego Mphela,,0,7,0,7
Jan Koller,Jan Koller,,0,4,0,4
James Milner,James Milner,,0,6,0,6
Manuel Olivares,Manuel Olivares,,0,5,0,5
Nery Pumpido,Nery Pumpido,,0,9,0,9
United States 1986 Fifa World Cup Bid,United States 1986 Fifa World Cup Bid,,0,6,0,6
2015 Copa América Squads,2015 Copa América Squads,,0,7,0,7
Ange Postecoglou,Ange Postecoglou,,0,4,0,4
"Hyogo-Ku, Kobe","Hyogo-Ku, Kobe",,0,5,0,5
1977 Fifa World Youth Championship,1977 Fifa World Youth Championship,,0,5,0,5
Ralf Edström,Ralf Edström,,0,8,0,8
Chad Marshall,Chad Marshall,,0,4,0,4
Gyula Zsengellér,Gyula Zsengellér,,0,7,0,7
Uefa Euro 2012 Group B,Uefa Euro 2012 Group B,,0,8,0,8
Guadeloupe National Football Team,Guadeloupe National Football Team,,0,12,0,12
Ramin Rezaeian,Ramin Rezaeian,,0,5,0,5
Slovenia National Football Team,Slovenia National Football Team,,0,94,315,409
André-Pierre Gignac,André-Pierre Gignac,,0,6,0,6
Kyros Vassaras,Kyros Vassaras,,0,42,75,117
Amancio (Footballer),Amancio (Footballer),,0,4,0,4
S.L. Benfica,S.L. Benfica,,0,19,0,19
1996 J.League,1996 J.League,,0,5,0,5
Márcio Amoroso,Márcio Amoroso,,0,9,0,9
Jorge Da Silva,Jorge Da Silva,,0,4,0,4
Ferenc Puskás,Ferenc Puskás,,0,29,0,29
Ertuğrul Sağlam,Ertuğrul Sağlam,,0,6,0,6
Johan Boskamp,Johan Boskamp,,0,4,0,4
2014 Winter Olympics,2014 Winter Olympics,,0,5,0,5
2005 Fifa Club World Championship,2005 Fifa Club World Championship,,0,5,0,5
Football World Championship,Football World Championship,,0,5,0,5
New York Red Bulls,New York Red Bulls,,0,10,0,10
European Economic Community,European Economic Community,,0,5,0,5
2004 Intercontinental Cup,2004 Intercontinental Cup,,0,7,0,7
Regional Power,Regional Power,,0,4,0,4
Brazil National Football Team,Brazil National Football Team,,0,219,683,902
Zlatan Ljubijankić,Zlatan Ljubijankić,,0,4,0,4
Charlton Athletic F.C.,Charlton Athletic F.C.,,0,10,0,10
2007–08 Uefa Champions League,2007–08 Uefa Champions League,,0,5,0,5
Mohamed Bin Hammam,Mohamed Bin Hammam,,0,4,0,4
Gifu Prefecture,Gifu Prefecture,,0,7,0,7
Musashino Forest Sport Plaza,Musashino Forest Sport Plaza,,0,7,0,7
Jan Jongbloed,Jan Jongbloed,,0,5,0,5
Shaun Bartlett,Shaun Bartlett,,0,10,0,10
1986 Fifa World Cup,1986 Fifa World Cup,,0,164,0,164
Association Football Positions,Association Football Positions,,0,5,0,5
Football At The 1982 Asian Games,Football At The 1982 Asian Games,,0,6,0,6
Romerito,Romerito,,0,16,0,16
Mohamed Salah,Mohamed Salah,,0,13,0,13
